"","chunk_id","sentence_id","group","start","end","duration","transcript","question_mark","elipses","nwords","duration_seconds","words_per_second","word_present_maybe","word_present_sort_of","word_present_unsure","word_present_dont_know","word_present_confused","word_present_possibly","liwc_certitude","chunk_sum_turn_duration","chunk_mean_turn_duration","chunk_count_duration","chunk_median_turn_duration","chunk_sd_turn_duration","pd_chunk_sum_pitch","pd_chunk_mean_pitch","pd_chunk_median_pitch","pd_chunk_sd_pitch","pd_chunk_sum_loudness","pd_chunk_mean_loudness","pd_chunk_median_loudness","pd_chunk_sd_loudness"
"1311","(4.1e+03,4.13e+03]",1311,"orange","01:08:44","01:08:45",1,"It's not like one of those malls where there's like crowds to get out.",FALSE,FALSE,14,1,12.0960000000005,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,23.2597660000019,1.45373537500012,16,1.00976549999996,1.46518822703433,193296.01567,64.4320052233331,0,92.6654916744044,368.964953470001,0.122988317823333,0.1095218,0.0601965344467984
"1371","(4.25e+03,4.28e+03]",1371,"orange","01:11:06","01:11:07",1,"How do you do B? I don't know how to do B.",TRUE,FALSE,12,1,10.3680000000004,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,20.6796880000011,1.47712057142865,14,1.47998050000024,1.04015855515301,197045.20086,65.68173362,0,92.0352335973797,446.756351549999,0.14891878385,0.12851855,0.0874781397634538
"2019","(6.08e+03,6.11e+03]",2019,"orange","01:41:29","01:41:30",1,"There were a bunch of problems that I could have finished.",FALSE,FALSE,11,1,9.50400000000611,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,22.6796849999982,1.74459115384602,13,0.819823999999244,3.0685682885034,206430.446589999,68.8101488633334,30.4203,85.6342811421209,576.370304170002,0.192123434723333,0.16985335,0.0986609591391942
"1123","(3.62e+03,3.65e+03]",1123,"orange","01:00:44","01:00:45",1,"She wrote it and I was like, this is really bad.",FALSE,FALSE,11,1,9.50400000000041,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9.09,28.3200670000001,2.1784666923077,13,1.06005899999991,2.80765975866133,230281.74312,76.7605810399998,0,99.9104184553386,556.7030339,0.185567677966667,0.16414665,0.102061320599362
"1281","(4.04e+03,4.07e+03]",1281,"orange","01:07:33","01:07:34",1,"Tim, what do you need to get the scholarship from Oracle?",TRUE,FALSE,11,1,9.50400000000041,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,19.9902349999998,1.33268233333332,15,0.799804000000222,1.16443565711524,175625.88409,58.5419613633334,0,98.5417508843723,362.59137034,0.120863790113333,0.10089295,0.0732243824515044
"1354","(4.22e+03,4.25e+03]",1354,"orange","01:10:29","01:10:30",1,"That's why I want to work at a fast food restaurant.",FALSE,FALSE,11,1,9.50400000000041,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,24.3105480000004,1.43003223529414,17,1.05957099999978,1.39376526362533,169172.7345,56.3909115,0,87.0958726276128,344.37433312,0.114791444373333,0.1015763,0.0609993382788027
"1099","(3.56e+03,3.59e+03]",1099,"orange","00:59:30","00:59:31",1,"Did you guys know the exact side to that one?",TRUE,FALSE,10,1,8.64000000000037,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,16.1391620000004,0.768531523809543,21,0.449951999999939,0.882552181816387,202554.92352,67.5183078399997,0,106.814452996604,333.038298900001,0.1110127663,0.095521835,0.0604007094121067
"1130","(3.65e+03,3.68e+03]",1130,"orange","01:00:52","01:00:53",1,"She was like, can I see the resume you entered?",TRUE,FALSE,10,1,8.64000000000037,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,17.2304689999996,1.23074778571426,14,0.969970999999987,1.02005369764173,173418.31913,57.8061063766667,0,84.5414853662821,372.4234472,0.124141149066667,0.11001365,0.0651451138009511
"1221","(3.89e+03,3.92e+03]",1221,"orange","01:05:08","01:05:09",1,"I wish he did because he was being an idiot.",FALSE,FALSE,10,1,8.64000000000037,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,25.7595220000003,2.34177472727275,11,1.26977600000009,3.13978406330982,225730.67441,75.2435581366668,60.556325,81.2005248180048,703.098887027001,0.234366295675667,0.1998269,0.138331244688269
"1325","(4.13e+03,4.16e+03]",1325,"orange","01:09:12","01:09:13",1,"How do they have you find that you're not 16?",TRUE,FALSE,10,1,8.64000000000037,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,24.4296869999998,1.62864579999999,15,1.29980399999931,1.42749602882099,143051.28697,47.6837623233334,0,70.5421995528653,454.09699049,0.151365663496667,0.13694455,0.0728273350236251
